derived_sample_id	arabiensis_prob_mean	coluzzii_prob_mean	fontenillei_prob_mean	gambiae_prob_mean	gcx1_prob_mean	gcx2_prob_mean	gcx3_prob_mean	gcx4_prob_mean	melas_prob_mean	merus_prob_mean	quadriannulatus_prob_mean	max_mean_prob_taxon	max_mean_taxon_prob_diff	max_mean_taxon_prob_qual	arabiensis_votes	coluzzii_votes	fontenillei_votes	gambiae_votes	gcx1_votes	gcx2_votes	gcx3_votes	gcx4_votes	melas_votes	merus_votes	quadriannulatus_votes	max_votes_taxon	max_votes_taxon_ratio_diff
VBS83485-7466STDY14207200	0.0023175965665236053	0.025836909871244637	4.291845493562232e-05	0.9599570815450643	0.006180257510729614	0.004549356223175966	0.0006866952789699571	0.0002145922746781116	8.583690987124464e-05	4.291845493562232e-05	8.583690987124464e-05	gambiae	0.9341201716738197	15.700112448545832	0	0	0	233	0	0	0	0	0	0	0	gambiae	0.9999999999995709
VBS83486-7466STDY14207201	0.0006437768240343348	0.023433476394849787	0.0	0.9648927038626609	0.0059656652360515015	0.004377682403433477	0.0005150214592274677	0.00012875536480686693	4.291845493562232e-05	0.0	0.0	gambiae	0.9414592274678111	16.14642298964406	0	0	0	233	0	0	0	0	0	0	0	gambiae	0.9999999999995709
VBS83487-7466STDY14207202	0.9972961373390559	0.0006008583690987125	0.0	0.0018025751072961373	4.291845493562232e-05	0.00017167381974248928	0.0	0.0	0.0	0.0	8.583690987124464e-05	arabiensis	0.9954935622317598	27.429307435417584	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83488-7466STDY14207203	0.9972103004291846	0.0007296137339055795	0.0	0.0018025751072961373	0.00017167381974248928	4.291845493562232e-05	4.291845493562232e-05	0.0	0.0	0.0	0.0	arabiensis	0.9954077253218885	27.428933623675352	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83489-7466STDY14207204	0.9964377682403432	0.0007725321888412017	8.583690987124464e-05	0.0023605150214592277	4.291845493562232e-05	8.583690987124464e-05	0.0	0.0	0.00012875536480686693	8.583690987124464e-05	0.0	arabiensis	0.9940772532188841	26.25443393530409	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83490-7466STDY14207205	0.9979399141630901	0.0004291845493562232	8.583690987124464e-05	0.0012446351931330471	0.0	0.0002575107296137339	0.0	0.0	0.0	0.0	4.291845493562232e-05	arabiensis	0.9966952789699571	29.040622815356	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83491-7466STDY14207267	0.07789699570815452	0.10356223175965665	0.11515021459227469	0.12909871244635193	0.027296137339055795	0.03137339055793992	0.022575107296137337	0.03841201716738197	0.023819742489270386	0.3039914163090129	0.12682403433476394	merus	0.17489270386266095	3.71939409685244	3	6	10	16	0	0	0	0	0	197	1	merus	0.7768240343344306
VBS83492-7466STDY14207268	0.996695278969957	0.0006008583690987125	8.583690987124464e-05	0.0023175965665236053	0.00012875536480686693	4.291845493562232e-05	0.0	0.0	0.0	8.583690987124464e-05	4.291845493562232e-05	arabiensis	0.9943776824034334	26.33524543657946	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83493-7466STDY14207269	0.0012446351931330471	0.023733905579399143	8.583690987124464e-05	0.9651931330472102	0.004935622317596566	0.004034334763948498	0.0005150214592274678	0.00012875536480686693	4.291845493562232e-05	0.0	8.583690987124464e-05	gambiae	0.9414592274678111	16.092450113573097	0	0	0	233	0	0	0	0	0	0	0	gambiae	0.9999999999995709
VBS83494-7466STDY14207270	0.0007725321888412017	0.029914163090128756	0.0	0.9595278969957082	0.0049785407725321884	0.00407725321888412	0.0005579399141630902	8.583690987124464e-05	0.0	0.0	8.583690987124464e-05	gambiae	0.9296137339055794	15.061807473101812	0	1	0	232	0	0	0	0	0	0	0	gambiae	0.99141630901245
VBS83495-7466STDY14207271	0.0006437768240343348	0.023433476394849787	8.583690987124464e-05	0.9659656652360514	0.0051931330472103	0.003690987124463519	0.0005150214592274677	0.0002145922746781116	0.0	0.0002145922746781116	4.291845493562232e-05	gambiae	0.9425321888412016	16.15124966423741	0	0	0	233	0	0	0	0	0	0	0	gambiae	0.9999999999995709
VBS83496-7466STDY14207272	0.9983690987124464	0.00034334763948497857	4.291845493562232e-05	0.0011587982832618026	0.0	0.0	4.291845493562232e-05	0.0	0.0	4.291845493562232e-05	0.0	arabiensis	0.9972103004291846	29.35283249797363	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83497-7466STDY14207273	0.9971244635193134	0.00034334763948497857	0.0	0.002231759656652361	0.00012875536480686693	0.00017167381974248928	0.0	0.0	0.0	0.0	0.0	arabiensis	0.994892703862661	26.50101929371883	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83498-7466STDY14207274	0.0010300429184549357	0.03017167381974249	8.583690987124464e-05	0.9575965665236051	0.005751072961373391	0.004678111587982833	0.00038626609442060086	0.0002145922746781116	0.0	8.583690987124464e-05	0.0	gambiae	0.9274248927038626	15.015831748441109	0	0	0	233	0	0	0	0	0	0	0	gambiae	0.9999999999995709
VBS83499-7466STDY14207275	0.9975107296137339	0.0006866952789699571	0.0	0.0014163090128755365	0.00017167381974248928	0.00012875536480686693	0.0	0.0	0.0	8.583690987124464e-05	0.0	arabiensis	0.9960944206008584	28.47759526352274	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83500-7466STDY14207276	0.000944206008583691	0.02682403433476395	8.583690987124464e-05	0.9607296137339055	0.005665236051502146	0.005021459227467811	0.00038626609442060086	0.00025751072961373387	4.291845493562232e-05	4.291845493562232e-05	0.0	gambiae	0.9339055793991415	15.540770798015435	0	0	0	233	0	0	0	0	0	0	0	gambiae	0.9999999999995709
VBS83501-7466STDY14207277	0.0006866952789699571	0.022703862660944207	8.583690987124464e-05	0.966351931330472	0.0048068669527897	0.004377682403433477	0.0004721030042918455	0.0004291845493562232	0.0	0.0	8.583690987124464e-05	gambiae	0.9436480686695279	16.290355660850544	0	0	0	233	0	0	0	0	0	0	0	gambiae	0.9999999999995709
VBS83502-7466STDY14207278	0.9981545064377683	0.0005150214592274677	0.0	0.0011587982832618026	4.291845493562232e-05	4.291845493562232e-05	4.291845493562232e-05	4.291845493562232e-05	0.0	0.0	0.0	arabiensis	0.9969957081545064	29.351898912807286	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83503-7466STDY14207279	0.9975965665236052	0.0005579399141630902	0.0	0.0015879828326180257	0.0	0.00012875536480686693	0.0	0.0	0.0	0.00012875536480686693	0.0	arabiensis	0.9960085836909871	27.981091153944607	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83504-7466STDY14207280	0.001201716738197425	0.03145922746781116	4.291845493562232e-05	0.9559656652360515	0.005321888412017167	0.005107296137339056	0.00030042918454935627	0.0004721030042918455	4.291845493562232e-05	0.0	8.583690987124464e-05	gambiae	0.9245064377682404	14.826942393486219	0	0	0	233	0	0	0	0	0	0	0	gambiae	0.9999999999995709
